2019/7/7,J1,nagoya,0,2,shonan,0
2019/7/7,J1,fctokyo,3,1,gosaka,1
2019/7/7,J1,kawasakif,0,0,tosu,0.5
2019/7/13,J1,matsumoto,0,1,iwata,0
2019/7/13,J1,sendai,0,4,kashima,0
2019/7/13,J1,yokohamafm,3,1,urawa,1
2019/7/13,J1,gosaka,1,0,shimizu,1
2019/7/13,J1,cosaka,3,0,nagoya,1
2019/7/13,J1,oita,2,1,sapporo,1
2019/7/13,J1,tosu,0,2,hiroshima,0
2019/7/14,J1,fctokyo,0,3,kawasakif,0
2019/7/14,J1,shonan,3,1,kobe,1
2019/7/20,J1,sapporo,5,2,shonan,1
2019/7/20,J1,matsumoto,2,2,hiroshima,0.5
2019/7/20,J1,nagoya,2,2,gosaka,0.5
2019/7/20,J1,kobe,0,2,yokohamafm,0
2019/7/20,J1,kashima,2,1,tosu,1
2019/7/20,J1,shimizu,0,2,fctokyo,0
2019/7/20,J1,iwata,1,3,urawa,0
2019/7/20,J1,cosaka,0,0,sendai,0.5
2019/7/27,J1,kawasakif,3,1,oita,1
2019/7/31,J1,hiroshima,3,2,kawasakif,1
2019/7/31,J1,urawa,1,1,kashima,0.5
2019/8/2,J1,kobe,2,2,gosaka,0.5
2019/8/3,J1,sendai,2,1,iwata,1
2019/8/3,J1,fctokyo,3,0,cosaka,1
2019/8/3,J1,yokohamafm,0,1,shimizu,0
2019/8/3,J1,shonan,3,2,kashima,1
2019/8/3,J1,hiroshima,1,0,sapporo,1
2019/8/4,J1,urawa,2,2,nagoya,0.5
2019/8/4,J1,kawasakif,0,0,matsumoto,0.5
2019/8/4,J1,tosu,2,2,oita,0.5
2019/8/10,J1,sapporo,1,1,urawa,0.5
2019/8/10,J1,shimizu,1,0,matsumoto,1
2019/8/10,J1,kashima,2,1,yokohamafm,1
2019/8/10,J1,fctokyo,1,0,sendai,1
2019/8/10,J1,nagoya,3,0,kawasakif,1
2019/8/10,J1,gosaka,1,1,hiroshima,0.5
2019/8/10,J1,oita,1,1,kobe,0.5
2019/8/11,J1,cosaka,1,2,tosu,0
2019/8/11,J1,iwata,2,3,shonan,0
2019/8/17,J1,shimizu,0,8,sapporo,0
2019/8/17,J1,sendai,2,2,kawasakif,0.5
2019/8/17,J1,fctokyo,0,1,hiroshima,0
2019/8/17,J1,yokohamafm,1,2,cosaka,0
2019/8/17,J1,shonan,2,3,tosu,0
2019/8/17,J1,kobe,3,0,urawa,1
